t (s),V (mV)
0,3.01462
1.001,3.00456
2.001,2.99245
3.002,2.97913
4.001,2.96605
5.002,2.95224
6.001,2.93901
7.001,2.92516
8.001,2.91202
9.001,2.89785
10.001,2.88363
11.141,2.86827
12.001,2.85608
13.001,2.84282
14.001,2.82933
15.002,2.81596
16.001,2.80226
17.001,2.78965
18.002,2.77659
19.001,2.76372
20.002,2.75074
21.001,2.73761
22.001,2.72476
23.141,2.71021
24.001,2.69889
25.001,2.68585
26.002,2.67356
27.001,2.66036
28.002,2.64721
29.001,2.63457
30.001,2.62204
31.002,2.6095
32.001,2.59741
33.001,2.58513
34.001,2.57301
35.141,2.55956
36.001,2.54891
37.001,2.53715
38.001,2.52468
39.001,2.51238
40.001,2.50101
41.001,2.48886
42.001,2.47717
43.001,2.46552
44.001,2.45402
45.001,2.44249
46.002,2.43119
47.142,2.4179
48.001,2.40871
49.001,2.39873
50.001,2.3856
51.001,2.3752
52.001,2.36505
53.001,2.35399
54.001,2.34294
55.001,2.33228
56.001,2.32111
57.001,2.3104
58.001,2.29701
59.141,2.28484
60.001,2.27574
61.001,2.26487
62.002,2.25488
63.001,2.24431
64.001,2.23424
65.001,4.3095
66.001,2.2191
67.001,2.20683
68.001,2.19718
69.001,2.18682
70.002,2.17676
71.142,2.16603
72.002,2.15642
73.001,2.1474
74.001,2.13674
75.002,2.12786
76.001,2.11734
77.002,2.10816
78.001,2.09777
79.001,2.08831
80.001,2.07919
81.001,2.06915
82.001,2.06011
83.141,2.0491
84.002,2.03957
85.001,2.03049
86.002,2.02089
87.001,2.01085
88.002,2.00222
89.001,1.99198
90.001,1.98467
91.001,1.97519
92.001,1.96689
93.001,1.958
94.001,1.94807
95.141,1.9381
96.002,1.93046
97.001,1.92119
98.002,1.91338
99.001,1.90289
100.002,1.89676
101.002,1.88666
102.001,1.87922
103.002,1.87057
104.001,1.86238
105.002,1.85363
106.001,1.84562
107.141,1.83641
108.002,1.82917
109.001,1.82052
110.001,1.81196
111.001,1.80405
112.001,1.79803
113.001,1.79011
114.001,1.78263
115.002,1.77479
116.001,1.76617
117.002,1.75821
118.001,1.74957
119.141,1.73922
120.001,1.73247
121.001,1.7227
122.001,1.7166
123.001,1.70803
124.001,1.7012
125.001,1.69319
126.002,1.68538
127.001,1.67773
128.001,1.67054
129.001,1.66243
130.001,1.65462
131.141,1.64609
132.001,1.63918
133.001,1.63222
134.001,1.62475
135.001,1.6177
136.001,1.61024
